Voice Name,Voice ID,Language,Gender,Support Pause
Reliable Nora,7c34f2f432d94cd9b3ace5bd209f70b0,English,female,false
News Reporter - Voice 1,7c5YdWb0GUuvb88qmSn9,English,unknown,false
Gentle Gemma,7c66cda484de4960899408fcfb72b86c,English,female,false
Julie,7ce0b7f2a17f4564bb4410fb3fd03b5b,English,female,false
Aya - Voice 1,7CxwfWXkMMNrRYeaOJoU,English,unknown,false
Plain Joe - Broadcaster 🎙️,7d51c2b51e104c18adec15901565f9fd,English,male,false
Lauren,7d79140eee4d4589a3ef58fd9d07e6d9,English,female,false
Silvia,7df8d935368b477698024e6a3ba84d0e,English,female,false
DJ Troy,7e27870bdb5e49ff802b99954ec6cf2e,English,male,false
Tahlia Brooks,7ea3582d4da8417dbb515d43f6132591,English,female,false
Daniel Hayes,7eae1818778d41388eae9f9da3b904dc,English,male,false
Stella Zhu,7f5cde2aa27148389255dd006c22c016,English,female,false
